domestic,work,public,commercial,delivery,workshop,factory
6.40E-05,4.49E-05,4.49E-05,4.15E-05,4.49E-05,5.01E-05,9.07E-05
5.25E-05,4.30E-05,4.30E-05,5.32E-05,4.30E-05,4.94E-05,8.66E-05
4.87E-05,4.19E-05,4.19E-05,5.31E-05,4.19E-05,4.72E-05,8.47E-05
4.61E-05,4.15E-05,4.15E-05,5.01E-05,4.15E-05,4.54E-05,8.49E-05
4.61E-05,4.30E-05,4.30E-05,3.99E-05,4.30E-05,4.43E-05,8.43E-05
4.99E-05,4.49E-05,4.49E-05,3.50E-05,4.49E-05,4.76E-05,8.33E-05
7.30E-05,5.26E-05,5.26E-05,5.30E-05,5.26E-05,6.30E-05,8.83E-05
0.00010629,8.34E-05,8.34E-05,9.36E-05,8.34E-05,9.92E-05,0.000100452
0.000108851,0.00013902,0.00013902,0.00019441,0.00013902,0.000161278,0.000116559
0.000101168,0.000200559,0.000200559,0.000241174,0.000200559,0.000202946,0.000126439
9.60E-05,0.000213905,0.000213905,0.000250042,0.000213905,0.000215234,0.000131089
9.48E-05,0.000219466,0.000219466,0.000273917,0.000219466,0.000218725,0.000133927
9.86E-05,0.000217242,0.000217242,0.000247617,0.000217242,0.000217773,0.000134584
9.09E-05,0.000203896,0.000203896,0.00023837,0.000203896,0.000212513,0.000135793
8.84E-05,0.000203154,0.000203154,0.000229123,0.000203154,0.000212831,0.000133297
9.48E-05,0.000197594,0.000197594,0.000207143,0.000197594,0.000210201,0.000131247
0.000122938,0.000182023,0.000182023,0.000162728,0.000182023,0.000193198,0.000130117
0.000142147,0.000130123,0.000130123,9.24E-05,0.000130123,0.000146996,0.000127936
0.000135744,8.67E-05,8.67E-05,5.78E-05,8.67E-05,8.88E-05,0.00012452
0.000125499,8.04E-05,8.04E-05,4.48E-05,8.04E-05,6.31E-05,0.000123732
0.000122938,7.30E-05,7.30E-05,4.19E-05,7.30E-05,5.62E-05,0.000117768
0.000133183,6.71E-05,6.71E-05,4.05E-05,6.71E-05,5.50E-05,0.000113774
0.000133183,5.97E-05,5.97E-05,4.60E-05,5.97E-05,5.12E-05,0.000108308
9.60E-05,5.38E-05,5.38E-05,4.37E-05,5.38E-05,4.98E-05,0.000100426
7.30E-05,4.89E-05,4.89E-05,5.44E-05,4.89E-05,4.98E-05,9.43E-05
5.63E-05,4.52E-05,4.52E-05,5.87E-05,4.52E-05,4.91E-05,8.78E-05
4.99E-05,4.37E-05,4.37E-05,5.71E-05,4.37E-05,4.65E-05,8.54E-05
4.87E-05,4.26E-05,4.26E-05,5.09E-05,4.26E-05,4.47E-05,8.49E-05
4.87E-05,4.26E-05,4.26E-05,4.23E-05,4.26E-05,4.33E-05,8.37E-05
4.99E-05,4.37E-05,4.37E-05,3.65E-05,4.37E-05,4.29E-05,8.22E-05
6.27E-05,4.63E-05,4.63E-05,3.84E-05,4.63E-05,4.62E-05,8.67E-05
8.58E-05,6.08E-05,6.08E-05,5.15E-05,6.08E-05,6.74E-05,9.58E-05
0.00010629,9.34E-05,9.34E-05,8.31E-05,9.34E-05,0.000103514,0.000109228
0.000117816,0.000149029,0.000149029,9.14E-05,0.000149029,0.000128542,0.000120553
0.000115254,0.000159039,0.000159039,8.81E-05,0.000159039,0.000136522,0.000124626
0.000112693,0.000158668,0.000158668,8.47E-05,0.000158668,0.000137474,0.000127358
0.000117816,0.000148288,0.000148288,6.81E-05,0.000148288,0.000122511,0.000126754
0.000108851,0.000130864,0.000130864,6.45E-05,0.000130864,0.000112038,0.00012636
0.000103729,0.000127528,0.000127528,6.28E-05,0.000127528,0.000108093,0.000123916
0.00010501,0.000124191,0.000124191,6.03E-05,0.000124191,0.000109136,0.000122077
0.000113974,0.000115294,0.000115294,5.72E-05,0.000115294,0.000102335,0.00012142
0.000134464,8.97E-05,8.97E-05,5.09E-05,8.97E-05,8.57E-05,0.000119817
0.000129341,7.27E-05,7.27E-05,4.24E-05,7.27E-05,5.92E-05,0.000114746
0.00012678,6.82E-05,6.82E-05,2.96E-05,6.82E-05,4.64E-05,0.000110279
0.000117816,6.60E-05,6.60E-05,3.02E-05,6.60E-05,4.38E-05,0.000109044
0.000124219,6.60E-05,6.60E-05,3.39E-05,6.60E-05,4.50E-05,0.000110516
0.00012806,6.08E-05,6.08E-05,3.67E-05,6.08E-05,4.33E-05,0.000105812
0.000102448,5.71E-05,5.71E-05,3.66E-05,5.71E-05,4.32E-05,9.92E-05
7.68E-05,4.89E-05,4.89E-05,3.24E-05,4.89E-05,4.43E-05,9.16E-05
6.02E-05,4.41E-05,4.41E-05,3.22E-05,4.41E-05,4.42E-05,8.45E-05
5.25E-05,4.15E-05,4.15E-05,3.09E-05,4.15E-05,4.22E-05,8.12E-05
4.87E-05,4.08E-05,4.08E-05,3.33E-05,4.08E-05,4.12E-05,8.09E-05
4.87E-05,4.04E-05,4.04E-05,3.41E-05,4.04E-05,4.07E-05,8.03E-05
4.87E-05,3.93E-05,3.93E-05,2.85E-05,3.93E-05,3.96E-05,7.85E-05
5.51E-05,4.15E-05,4.15E-05,2.56E-05,4.15E-05,3.99E-05,8.12E-05
7.56E-05,4.63E-05,4.63E-05,2.99E-05,4.63E-05,4.30E-05,8.71E-05
9.99E-05,5.49E-05,5.49E-05,3.35E-05,5.49E-05,4.83E-05,9.30E-05
0.000121657,6.45E-05,6.45E-05,3.63E-05,6.45E-05,5.21E-05,0.00010237
0.000135744,7.38E-05,7.38E-05,4.03E-05,7.38E-05,6.13E-05,0.000110699
0.000145989,7.41E-05,7.41E-05,4.07E-05,7.41E-05,6.53E-05,0.0001174
0.000156234,7.19E-05,7.19E-05,3.65E-05,7.19E-05,6.37E-05,0.000117452
0.000138305,6.82E-05,6.82E-05,3.59E-05,6.82E-05,6.08E-05,0.000119318
0.000116535,6.60E-05,6.60E-05,3.46E-05,6.60E-05,6.03E-05,0.000119003
0.000116535,6.27E-05,6.27E-05,3.43E-05,6.27E-05,5.87E-05,0.000117137
0.000120377,6.04E-05,6.04E-05,3.33E-05,6.04E-05,5.63E-05,0.000112434
0.00012806,6.15E-05,6.15E-05,3.16E-05,6.15E-05,5.19E-05,0.000106863
0.000130622,6.23E-05,6.23E-05,4.06E-05,6.23E-05,4.59E-05,0.000104104
0.000124219,6.04E-05,6.04E-05,3.55E-05,6.04E-05,4.36E-05,0.000104341
0.000122938,5.71E-05,5.71E-05,3.15E-05,5.71E-05,4.80E-05,0.000103763
0.000134464,5.75E-05,5.75E-05,3.84E-05,5.75E-05,4.74E-05,0.000105681
0.000133183,5.38E-05,5.38E-05,3.84E-05,5.38E-05,4.54E-05,0.000103316
9.60E-05,4.82E-05,4.82E-05,3.66E-05,4.82E-05,4.49E-05,9.56E-05
6.92E-05,4.52E-05,4.52E-05,4.12E-05,4.52E-05,5.22E-05,9.60E-05
5.51E-05,4.19E-05,4.19E-05,5.10E-05,4.19E-05,5.09E-05,9.17E-05
4.99E-05,4.11E-05,4.11E-05,4.62E-05,4.11E-05,4.86E-05,8.97E-05
4.87E-05,4.08E-05,4.08E-05,4.74E-05,4.08E-05,4.72E-05,8.92E-05
4.87E-05,4.15E-05,4.15E-05,3.77E-05,4.15E-05,4.65E-05,8.91E-05
5.25E-05,4.37E-05,4.37E-05,3.61E-05,4.37E-05,4.81E-05,9.00E-05
6.92E-05,5.30E-05,5.30E-05,4.83E-05,5.30E-05,6.10E-05,9.37E-05
9.73E-05,7.93E-05,7.93E-05,7.96E-05,7.93E-05,9.62E-05,0.000106075
0.00010501,0.000130864,0.000130864,0.000157347,0.000130864,0.000160553,0.000120658
0.000102448,0.000186843,0.000186843,0.00018577,0.000186843,0.000200453,0.00013038
9.99E-05,0.000197223,0.000197223,0.000187134,0.000197223,0.000216503,0.000135057
9.60E-05,0.000201672,0.000201672,0.000203429,0.000201672,0.000219632,0.000137369
0.000101168,0.000199818,0.000199818,0.000183268,0.000199818,0.000217773,0.000137028
9.22E-05,0.000191291,0.000191291,0.000185239,0.000191291,0.000215189,0.000137921
8.96E-05,0.000192774,0.000192774,0.000184708,0.000192774,0.00021537,0.000135688
9.35E-05,0.000189438,0.000189438,0.000172506,0.000189438,0.000212151,0.00013419
0.000117816,0.000175721,0.000175721,0.000139763,0.000175721,0.000198231,0.000132613
0.000134464,0.000127528,0.000127528,8.46E-05,0.000127528,0.000150668,0.000130774
0.000129341,8.38E-05,8.38E-05,5.57E-05,8.38E-05,9.00E-05,0.000127516
0.000120377,7.49E-05,7.49E-05,4.41E-05,7.49E-05,6.41E-05,0.000126938
0.00012678,7.15E-05,7.15E-05,4.30E-05,7.15E-05,5.76E-05,0.000122524
0.000143428,6.71E-05,6.71E-05,4.18E-05,6.71E-05,5.75E-05,0.000118293
