,probability
00:00:00,0.2675866118614206
00:15:00,0.2675866118614206
00:30:00,0.2675866118614206
00:45:00,0.4229594832648263
01:00:00,0.4229594832648263
01:15:00,1.251614797416324
01:30:00,0.2675866118614206
01:45:00,
02:00:00,
02:15:00,
02:30:00,
02:45:00,
03:00:00,
03:15:00,
03:30:00,
03:45:00,
04:00:00,
04:15:00,
04:30:00,
04:45:00,
05:00:00,
05:15:00,
05:30:00,
05:45:00,
06:00:00,
06:15:00,
06:30:00,
06:45:00,
07:00:00,
07:15:00,0.2675866118614206
07:30:00,0.2675866118614206
07:45:00,
08:00:00,
08:15:00,
08:30:00,0.6301233118027008
08:45:00,
09:00:00,0.2675866118614206
09:15:00,0.6301233118027008
09:30:00,0.4229594832648263
09:45:00,0.4229594832648263
10:00:00,0.6301233118027008
10:15:00,1.1480328831473865
10:30:00,0.6301233118027008
10:45:00,0.8372871403405749
11:00:00,0.2675866118614206
11:15:00,0.6301233118027008
11:30:00,0.8372871403405749
11:45:00,0.6301233118027008
12:00:00,0.4229594832648263
12:15:00,0.4229594832648263
12:30:00,1.1480328831473865
12:45:00,
13:00:00,0.4229594832648263
13:15:00,0.4229594832648263
13:30:00,0.5265413975337635
13:45:00,0.4229594832648263
14:00:00,0.5265413975337635
14:15:00,0.5265413975337635
14:30:00,0.4229594832648263
14:45:00,1.6659424544920725
15:00:00,0.5265413975337635
15:15:00,0.5265413975337635
15:30:00,1.0444509688784491
15:45:00,0.6301233118027008
16:00:00,1.1480328831473865
16:15:00,0.6301233118027008
16:30:00,2.9089254257193184
16:45:00,2.9089254257193184
17:00:00,1.1480328831473865
17:15:00,1.3551967116852612
17:30:00,2.183852025836758
17:45:00,1.7695243687610094
18:00:00,1.7695243687610094
18:15:00,2.7017615971814446
18:30:00,4.255490311215501
18:45:00,1.1480328831473865
19:00:00,1.3551967116852612
19:15:00,1.1480328831473865
19:30:00,3.116089254257193
19:45:00,1.1480328831473865
20:00:00,2.5981796829125066
20:15:00,3.012507339988256
20:30:00,3.4268349970640046
20:45:00,3.116089254257193
21:00:00,2.5981796829125066
21:15:00,2.4169113329418668
21:30:00,1.976688197298884
21:45:00,2.4169113329418668
22:00:00,5.213623018203172
22:15:00,6.456605989430418
22:30:00,4.799295361127422
22:45:00,3.116089254257193
23:00:00,1.7695243687610094
23:15:00,2.4169113329418668
23:30:00,2.4169113329418668
23:45:00,1.251614797416324
